"ID","Title","Assigned To","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"","","","","","","","","","","","","","","","","","","","Ввести ник пользователя  НЕ существующего в системе и нажать &laquo;Продолжить&raquo;
Rosa77Mimo14sa2441.
Expected Result:
Отображается всплывающее сообщение &laquo;Пользователь с таким именем не найден&raquo;. Пользователь не авторизуется.","","Отображается всплывающее сообщение &laquo;Пользователь с таким именем не найден&raquo;. Пользователь не авторизуется.","","","Ввести ник пользователя  НЕ существующего в системе и нажать &laquo;Продолжить&raquo;
Rosa77Mimo14sa2441.","","","","","",""
"C28","Авторизация с существующим в системе ником пользователя, зарегистрированным через соц. сети",""," None","Julia M","11/28/2024 5:29 PM","","","","","","Установлено приложение. Выполнена регистрация пользователя в системе.
ник : d-Julianna
пароль (использовался от соц сети вконтакте 123456)","High","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма для входа в приложение.
Expected Result:
Поле """"Email/Никнейм"""":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.
        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","Поле ""Email/Никнейм"":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.
        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","","Открыта форма для входа в приложение.","Master","S1","Test Case (Steps)","Functional","Julia M","11/28/2024 5:29 PM"
"","","","","","","","","","","","","","","","","","","","Ввести ник d-Julianna, нажать &laquo;Продолжить&raquo;.
Expected Result:
Выполнен переход на шаг2 для ввода пароля зарегистрированного пользователя.
Поле """"Пароль"""" является обязательным для заполнения, иначе кнопка Войти не активна.
В поле отображается плейсхолдер &laquo;Ввести пароль&raquo;.
Поле """"Пароль"""" поддерживает отображение и скрытие символов пароля.
Отображается ссылка &laquo;Забыли пароль?&raquo; для перехода на страницу восстановления пароля.
Наличие кнопки Войти. При пустом поле кнопка не активна.","","Выполнен переход на шаг2 для ввода пароля зарегистрированного пользователя.
Поле ""Пароль"" является обязательным для заполнения, иначе кнопка Войти не активна.
В поле отображается плейсхолдер &laquo;Ввести пароль&raquo;.
Поле ""Пароль"" поддерживает отображение и скрытие символов пароля.
Отображается ссылка &laquo;Забыли пароль?&raquo; для перехода на страницу восстановления пароля.
Наличие кнопки Войти. При пустом поле кнопка не активна.","","","Ввести ник d-Julianna, нажать &laquo;Продолжить&raquo;.","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ввести действующий пароль пользователя. Проверить работу кнопки """"показать/скрыть"""" пароль.
ник : d-Julianna
пароль (использовался от соц сети вконтакте 123456)
Expected Result:
При включенной кнопке Скрыть пароль - пароль не отображается, скрыт под символами точек.
При включенной кнопке Показать пароль, пароль отображается.

Успешно выполнен вход. Загружена главная страница приложения.","","При включенной кнопке Скрыть пароль - пароль не отображается, скрыт под символами точек.
При включенной кнопке Показать пароль, пароль отображается.

Успешно выполнен вход. Загружена главная страница приложения.","","","Ввести действующий пароль пользователя. Проверить работу кнопки ""показать/скрыть"" пароль.
ник : d-Julianna
пароль (использовался от соц сети вконтакте 123456)","","","","","",""
"C17","Доступность поисковой строки с любой страницы приложения | App",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","
								 Проверяем, что поисковая строка доступна для запуска и ввода данных с любой страницы приложения.

Последняя версия приложения LiveLib установлена на устройство.
							","Medium","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","0","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","","Запустить приложение.
Expected Result:
Приложение успешно запущено, отображается раздел """"Лента"""" с баннером """"Книжный вызов"""" и последними новостями приложения. 
В Верхнем меню приложения значок """"Меню"""" в левом углу, логотип """"Livelib"""" по центру и значок """"Пользователь"""" в правом углу.
В нижнем меню приложения слева направо значки: """"Главная страница"""", """"Мой профиль"""", """"Добавить в хочу почитать"""", """"Сканер штрих-кодов"""", """"Поиск"""".","","Приложение успешно запущено, отображается раздел ""Лента"" с баннером ""Книжный вызов"" и последними новостями приложения. 
В Верхнем меню приложения значок ""Меню"" в левом углу, логотип ""Livelib"" по центру и значок ""Пользователь"" в правом углу.
В нижнем меню приложения слева направо значки: ""Главная страница"", ""Мой профиль"", ""Добавить в хочу почитать"", ""Сканер штрих-кодов"", ""Поиск"".","","","Запустить приложение.","Master","S1","Test Case (Steps)","Functional","Hanna Belri","11/27/2024 4:33 PM"
"","","","","","","","","","","","","","","","","","","","Нажать на значок """"Поиск"""" в правом нижнем углу приложения.
Expected Result:
Открылась страница с поисковой строкой, расположенной под верхним меню. 
Под поисковой строкой сообщение-подсказка вида: """"Ищите книги и произведения, авторов, пользователей и другие материалы Лайвлиба"""".
В нижней части экрана развернута клавиатура.
Над клавиатурой в правом нижнем углу значок голосового поиска.","","Открылась страница с поисковой строкой, расположенной под верхним меню. 
Под поисковой строкой сообщение-подсказка вида: ""Ищите книги и произведения, авторов, пользователей и другие материалы Лайвлиба"".
В нижней части экрана развернута клавиатура.
Над клавиатурой в правом нижнем углу значок голосового поиска.","","","Нажать на значок ""Поиск"" в правом нижнем углу приложения.","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ввести корректный запрос в поисковую строку (например, фамилия имеющегося в базе писателя: """"Гессе"""")
Expected Result:
Все символы введены, запрос отображается в строке поиска. 
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) под строкой поиска выводятся результаты запроса и кнопки быстрой фильтрации результатов поиска (""""Все"""", """"Книги"""", """"Произведения"""", """"Авторы"""" и т.п.) по типам найденных материалов.","","Все символы введены, запрос отображается в строке поиска. 
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) под строкой поиска выводятся результаты запроса и кнопки быстрой фильтрации результатов поиска (""Все"", ""Книги"", ""Произведения"", ""Авторы"" и т.п.) по типам найденных материалов.","","","Ввести корректный запрос в поисковую строку (например, фамилия имеющегося в базе писателя: ""Гессе"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать на значок """"Меню"""" в левом верхнем углу приложения, нажать на любой раздел в открывшемся списке и дождаться перехода на страницу выбранного раздела.
Повторять Шаги 2-4 до тех пор, пока не будут проверены все разделы из списка """"Меню""""

Expected Result:
Аналогичны результатам в Шагах 2-3","","Аналогичны результатам в Шагах 2-3","","","Нажать на значок ""Меню"" в левом верхнем углу приложения, нажать на любой раздел в открывшемся списке и дождаться перехода на страницу выбранного раздела.
Повторять Шаги 2-4 до тех пор, пока не будут проверены все разделы из списка ""Меню""
","","","","","",""
"C18","Релевантность результатов поиска при вводе ключевых слов | App / Web",""," None","Hanna Belri","11/25/2024 7:38 PM","","","6750s","","","Проверяем, что поисковой запрос отдает данные, релевантные введенным ключевым словам (автор, название книги, ISBN, название подборки, имя пользователя, жанр), а также что при поиске поддерживается полный либо частичный (за исключением ISBN) ввод данных запроса и не учитывается регистр и порядок введенных слов.

Последняя версия приложения LiveLib установлена на устройство. Приложение запущено, открыта страница поиска по вводу через поисковую строку (для тестирования App). 
В браузере открыта главная страница сайта livelib.ru (для тестирования Web).
Язык ввода поисковых запросов - русский.","High","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","0","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","","Ввести в поисковую строку полное ФИО автора, имеющегося в базе приложения, написанное по правилам русского языка - каждое слово с большой буквы (например: """"Александр Сергеевич Пушкин"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе ФИО автора из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе ФИО автора из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","","Ввести в поисковую строку полное ФИО автора, имеющегося в базе приложения, написанное по правилам русского языка - каждое слово с большой буквы (например: ""Александр Сергеевич Пушкин"")","Master","S1","Test Case (Steps)","Functional","Hanna Belri","11/26/2024 2:00 PM"
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести только фамилию автора, имеющегося в базе. Все буквы запроса ввести нижнем регистре (например, """"булгаков"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе слово из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе слово из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","","Очистить поисковую строку и ввести только фамилию автора, имеющегося в базе. Все буквы запроса ввести нижнем регистре (например, ""булгаков"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести 1 слово, которое может быть как полным названием произведений, так и частью названия произведений, имеющихся в базе. Все буквы запроса ввести в верхнем регистре (например, """"РЕВИЗОР"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе слово из запроса (например, по запросу """"ревизор"""" найдется не только одноименная книга """"Ревизор"""" Гоголя, но также книга """"Приезд ревизора"""" Салтыкова-Щедрина и т.п.). Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе слово из запроса (например, по запросу ""ревизор"" найдется не только одноименная книга ""Ревизор"" Гоголя, но также книга ""Приезд ревизора"" Салтыкова-Щедрина и т.п.). Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","","Очистить поисковую строку и ввести 1 слово, которое может быть как полным названием произведений, так и частью названия произведений, имеющихся в базе. Все буквы запроса ввести в верхнем регистре (например, ""РЕВИЗОР"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести название произведения, состоящее из нескольких слов, которое имеется в базе. Слова в названии поменять местами (например, """"Мир и война"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях все слова из введенного запроса (например, по запросу """"Мир и война"""" найдутся также книги """"Война и мир"""" и т.п.). Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях все слова из введенного запроса (например, по запросу ""Мир и война"" найдутся также книги ""Война и мир"" и т.п.). Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.","","","Очистить поисковую строку и ввести название произведения, состоящее из нескольких слов, которое имеется в базе. Слова в названии поменять местами (например, ""Мир и война"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести ISBN существующей в базе книги в оригинальном формате (например, """"978-5-17-156172-7"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдена книга, соответствующая введенному коду ISBN","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдена книга, соответствующая введенному коду ISBN","","","Очистить поисковую строку и ввести ISBN существующей в базе книги в оригинальном формате (например, ""978-5-17-156172-7"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести ISBN существующей в базе книги в формате только числовом (например, """"9785171561727"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдена книга, соответствующая введенному коду ISBN","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдена книга, соответствующая введенному коду ISBN","","","Очистить поисковую строку и ввести ISBN существующей в базе книги в формате только числовом (например, ""9785171561727"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести никнейм существующего в базе читателя (например, """"Hanna-anna"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены читатели, имеющие такой же никнейм, а также книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе слова из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.
Результаты отображаются без учета регистра и порядка слов запроса (например, по запросу """"Hanna-anna"""" нашлись читатели с никнеймами """"Hanna-anna"""" и """"anna-hanna"""")

 ![](index.php?/attachments/get/aa68a0a7-d5c8-41bf-8189-d5259c907e8b) ","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены читатели, имеющие такой же никнейм, а также книги, произведения, авторы, издательские серии, циклы произведений, содержащие в названиях или сведениях об авторе слова из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.
Результаты отображаются без учета регистра и порядка слов запроса (например, по запросу ""Hanna-anna"" нашлись читатели с никнеймами ""Hanna-anna"" и ""anna-hanna"")

 ![](index.php?/attachments/get/aa68a0a7-d5c8-41bf-8189-d5259c907e8b) ","","","Очистить поисковую строку и ввести никнейм существующего в базе читателя (например, ""Hanna-anna"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести ключевое слово, соответствующее жанру произведения (например, """"детектив"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, персонажи, издательские серии, циклы произведений, содержащие в названиях введенный запрос либо имеющие тег, соответствующий жанру, введенному в запросе. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, персонажи, издательские серии, циклы произведений, содержащие в названиях введенный запрос либо имеющие тег, соответствующий жанру, введенному в запросе. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.","","","Очистить поисковую строку и ввести ключевое слово, соответствующее жанру произведения (например, ""детектив"")","","","","","",""
"C19","Транслитерация поисковых запросов | Web",""," None","Hanna Belri","11/26/2024 11:18 AM","","","","","","Проверяем, что поисковая строка поддерживает ввод с неправильным языком (En для ввода по-русски)(например: «Пушкин» / «Geirby») и отображает одинаково релевантные результаты поиска в обоих случаях.

В браузере открыта главная страница сайта livelib.ru","Medium","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","0","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","","Ввести в поисковую строку любое название произведения, имеющегося в базе, на русском языке с правильной настройкой языка ввода (например, """"американская трагедия""""), нажать Enter на клавиатуре или кликнуть на кнопку """"Искать"""" в поисковой строке.
Expected Result:
Спустя непродолжительное время загрузки (до 3-5 секунд) появились результаты поиска, релевантные запросу.
Например, для запроса """"американская трагедия"""" выведено в результатах: 
147 книг
6 произведений
1 издательская серия
3 цикла произведений
1153 статьи","","Спустя непродолжительное время загрузки (до 3-5 секунд) появились результаты поиска, релевантные запросу.
Например, для запроса ""американская трагедия"" выведено в результатах: 
147 книг
6 произведений
1 издательская серия
3 цикла произведений
1153 статьи","","","Ввести в поисковую строку любое название произведения, имеющегося в базе, на русском языке с правильной настройкой языка ввода (например, ""американская трагедия""), нажать Enter на клавиатуре или кликнуть на кнопку ""Искать"" в поисковой строке.","Master","S1","Test Case (Steps)","Functional","Hanna Belri","11/27/2024 5:00 PM"
"","","","","","","","","","","","","","","","","","","","Очистить поисковую строку и ввести такое же название произведения, которое было использовано в Шаге 1 и 2, но напечатать запрос по-русски при настройках языка - английский (например, """"fvthbrfycrfz nhfutlbz""""), нажать Enter на клавиатуре или кликнуть на кнопку """"Искать"""" в поисковой строке
Expected Result:
Спустя непродолжительное время загрузки (до 3-5 секунд) появились результаты поиска, релевантные запросу. Количество найденных элементов по группам совпадает с количеством в Шаге 1.
Под поисковой строкой выводится сообщение вида: """"По запросу &laquo;*введенный запрос*&raquo; ничего не найдено. Показаны результаты по запросу &laquo;*правильное написание запроса кириллическими символами*&raquo;""""
(Для запроса из примера сообщение следующее: """"По запросу &laquo;fvthbrfycrfz nhfutlbz&raquo; ничего не найдено. Показаны результаты по запросу &laquo;американская трагедия&raquo;"""")
","","Спустя непродолжительное время загрузки (до 3-5 секунд) появились результаты поиска, релевантные запросу. Количество найденных элементов по группам совпадает с количеством в Шаге 1.
Под поисковой строкой выводится сообщение вида: ""По запросу &laquo;*введенный запрос*&raquo; ничего не найдено. Показаны результаты по запросу &laquo;*правильное написание запроса кириллическими символами*&raquo;""
(Для запроса из примера сообщение следующее: ""По запросу &laquo;fvthbrfycrfz nhfutlbz&raquo; ничего не найдено. Показаны результаты по запросу &laquo;американская трагедия&raquo;"")
","","","Очистить поисковую строку и ввести такое же название произведения, которое было использовано в Шаге 1 и 2, но напечатать запрос по-русски при настройках языка - английский (например, ""fvthbrfycrfz nhfutlbz""), нажать Enter на клавиатуре или кликнуть на кнопку ""Искать"" в поисковой строке","","","","","",""
"","","","","","","","","","","","","","","","","","","","Повторить Шаги 1-2, используя для поискового запроса ФИО любого автора, имеющегося в базе
Expected Result:
Аналогично результату в Шагах 1-2 (за исключением количества поисковых результатов в Шаге 1)","","Аналогично результату в Шагах 1-2 (за исключением количества поисковых результатов в Шаге 1)","","","Повторить Шаги 1-2, используя для поискового запроса ФИО любого автора, имеющегося в базе","","","","","",""
"C20","Кликабельность результатов поиска | App / Web",""," None","Hanna Belri","11/26/2024 11:21 AM","","","","","","Проверяем, что из результатов поиска можно перейти на страницу любого найденного элемента (книги, автора, произведения и др.) для просмотра полной информации.

Последняя версия приложения LiveLib установлена на устройство. Приложение запущено, открыта страница поиска по вводу через поисковую строку (для тестирования App).
В браузере открыта главная страница сайта livelib.ru (для тестирования Web).
Язык ввода поисковых запросов - русский.","High","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","0","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","","Ввести в поисковую строку название любого произведения, имеющегося в базе (например, """"Мастер и Маргарита"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты по типам: найдены книги, произведения, авторы, издательские серии, циклы произведений, и другие материалы, содержащие в названиях все слова из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты по типам: найдены книги, произведения, авторы, издательские серии, циклы произведений, и другие материалы, содержащие в названиях все слова из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.","","","Ввести в поисковую строку название любого произведения, имеющегося в базе (например, ""Мастер и Маргарита"")","Master","S1","Test Case (Steps)","Functional","Hanna Belri","11/28/2024 8:07 PM"
"","","","","","","","","","","","","","","","","","","","Нажать на название первой книги в списке поискового результата
Expected Result:
Произошел переход на страницу книги с полной информацией: на первом экране отображается полное название книги, изображение обложки, рейтинг, аннотация, количество читателей и рецензий, а также кнопки """"Добавить"""" и """"Читать отрывок""""","","Произошел переход на страницу книги с полной информацией: на первом экране отображается полное название книги, изображение обложки, рейтинг, аннотация, количество читателей и рецензий, а также кнопки ""Добавить"" и ""Читать отрывок""","","","Нажать на название первой книги в списке поискового результата","","","","","",""
"","","","","","","","","","","","","","","","","","","","Вернуться к поисковой строке, очистить ее и ввести фамилию и имя любого автора, имеющегося в базе (например, """"Николай Гоголь"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, и другие материалы, содержащие в названиях или сведениях об авторе все слова из введенного запроса.
Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.
","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты: найдены книги, произведения, авторы, издательские серии, циклы произведений, и другие материалы, содержащие в названиях или сведениях об авторе все слова из введенного запроса.
Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа.
","","","Вернуться к поисковой строке, очистить ее и ввести фамилию и имя любого автора, имеющегося в базе (например, ""Николай Гоголь"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Убедиться, что под поисковой строкой присутствует быстрый фильтр """"Авторы"""", нажать на него
Expected Result:
Результаты поиска отфильтрованы: выводятся только авторы с релевантными запросу фамилией и именем","","Результаты поиска отфильтрованы: выводятся только авторы с релевантными запросу фамилией и именем","","","Убедиться, что под поисковой строкой присутствует быстрый фильтр ""Авторы"", нажать на него","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать на имя любого автора в списке
Expected Result:
Произошел переход на страницу автора с полной информацией: на первом экране отображается полное ФИО автора, его фото (либо заглушка, если фото не имеется), кнопка """"Подписаться"""", количество книг, рецензий, цитат, подборок, изображений и биографическая информация о писателе","","Произошел переход на страницу автора с полной информацией: на первом экране отображается полное ФИО автора, его фото (либо заглушка, если фото не имеется), кнопка ""Подписаться"", количество книг, рецензий, цитат, подборок, изображений и биографическая информация о писателе","","","Нажать на имя любого автора в списке","","","","","",""
"","","","","","","","","","","","","","","","","","","","Вернуться к поисковой строке, очистить ее и ввести любое слово, которое может являться как полным названием, так и частью произведения, имеющегося в базе (например, """"цветы"""")
Expected Result:
Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты по типам: найдены книги, произведения, авторы, издательские серии, циклы произведений, и другие материалы, содержащие в названиях все слова из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","Спустя непродолжительное время после ввода запроса (до 3-5 секунд) отображаются результаты по типам: найдены книги, произведения, авторы, издательские серии, циклы произведений, и другие материалы, содержащие в названиях все слова из введенного запроса. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","","Вернуться к поисковой строке, очистить ее и ввести любое слово, которое может являться как полным названием, так и частью произведения, имеющегося в базе (например, ""цветы"")","","","","","",""
"","","","","","","","","","","","","","","","","","","","Поочередно повторить Шаги 4 и 5 для быстрых фильтров:
- Произведения
- Издательские серии
- Циклы произведений
- Статьи
- Издательства
- Читатели
При отсутствии в быстрых ссылках каких-либо из типов материалов, указанных выше, изменить поисковой запрос
Expected Result:
Аналогично результату в Шагах 4 и 5 (за исключением содержимого страниц, на которые осуществляется переход - оно будет отличаться соответственно типам материалов)","","Аналогично результату в Шагах 4 и 5 (за исключением содержимого страниц, на которые осуществляется переход - оно будет отличаться соответственно типам материалов)","","","Поочередно повторить Шаги 4 и 5 для быстрых фильтров:
- Произведения
- Издательские серии
- Циклы произведений
- Статьи
- Издательства
- Читатели
При отсутствии в быстрых ссылках каких-либо из типов материалов, указанных выше, изменить поисковой запрос","","","","","",""
"C21","Производительность поиска | App / Web",""," None","Hanna Belri","11/26/2024 11:28 AM","","","","","","Последняя версия приложения LiveLib установлена на устройство. Приложение запущено, открыта страница поиска по вводу через поисковую строку (для тестирования App). В браузере открыта главная страница сайта livelib.ru (для тестирования Web).
Запущен любой специальный инструмент, позволяющий отслеживать время выполнения запросов (например, DevTools для web тестирования в Chrome или App Inspection для тестирования приложения в Android Studio).

Язык ввода поисковых запросов - русский.","High","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","0","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","","Включить запись отслеживания производительности в специальном инструменте и ввести в поисковую строку любые ключевые слова по имеющимся в базе материалам (например, название произведения """"Шагреневая кожа"""")
Expected Result:
Поиск выполнен успешно: отображаются результаты, релевантные поисковому запросу по типам: найдены книги, произведения, авторы, издательские серии, циклы произведений, и др. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","Поиск выполнен успешно: отображаются результаты, релевантные поисковому запросу по типам: найдены книги, произведения, авторы, издательские серии, циклы произведений, и др. Типы найденных материалов отображаются в виде быстрых фильтров под поисковой строкой с указанием количества каждого найденного типа","","","Включить запись отслеживания производительности в специальном инструменте и ввести в поисковую строку любые ключевые слова по имеющимся в базе материалам (например, название произведения ""Шагреневая кожа"")","Master","S1","Test Case (Steps)","Performance","Hanna Belri","11/27/2024 4:42 PM"
"","","","","","","","","","","","","","","","","","","","Остановить запись отслеживания производительности и проверить скорость выполнения запроса
Expected Result:
Поисковой запрос выполнен за время, не превышающее 2 секунды для показа первых результатов
 ![](index.php?/attachments/get/18f5497f-7264-4556-b4a4-7f2e806c4c27) 
","","Поисковой запрос выполнен за время, не превышающее 2 секунды для показа первых результатов
 ![](index.php?/attachments/get/18f5497f-7264-4556-b4a4-7f2e806c4c27) 
","","","Остановить запись отслеживания производительности и проверить скорость выполнения запроса","","","","","",""
"C22","Ввод специальных символов | App / Web",""," None","Hanna Belri","11/26/2024 11:39 AM","","","","","","Последняя версия приложения LiveLib установлена на устройство. Приложение запущено, открыта страница поиска по вводу через поисковую строку (для тестирования App).
В браузере открыта главная страница сайта livelib.ru (для тестирования Web).","Medium","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","0","","Анна: Тестирование модуля поиска и фильтрации книг LiveLib: поисковая строка","","Ввести в поисковую строку набор различных специальных символов (например, !@#$%^&amp;*()_+). Нажать Enter либо дождаться автоматического срабатывания поиска
Expected Result:
Запрос выполнен. Результаты поиска отсутствуют. Отображается сообщение &laquo;По вашему запросу ничего не найдено. Попробуйте уточнить или изменить запрос&raquo;, подсказки по поиску и предложение добавить книгу на LiveLib, если такой еще нет в базе","","Запрос выполнен. Результаты поиска отсутствуют. Отображается сообщение &laquo;По вашему запросу ничего не найдено. Попробуйте уточнить или изменить запрос&raquo;, подсказки по поиску и предложение добавить книгу на LiveLib, если такой еще нет в базе","","","Ввести в поисковую строку набор различных специальных символов (например, !@#$%^&amp;*()_+). Нажать Enter либо дождаться автоматического срабатывания поиска","Master","S1","Test Case (Steps)","Destructive","Hanna Belri","11/26/2024 3:39 PM"
